,RANK,MOVIE_NAME,YEAR,RATINGS,REVIEWS,MOVIE_LINKS
0,1, The Shawshank Redemption,1994,9.3, 2.9M,https://www.imdb.com/title/tt0111161/?ref_=chttp_i_1
1,2, The Godfather,1972,9.2, 2M,https://www.imdb.com/title/tt0068646/?ref_=chttp_i_2
2,3, The Dark Knight,2008,9.0, 2.9M,https://www.imdb.com/title/tt0468569/?ref_=chttp_i_3
3,4, The Godfather Part II,1974,9.0, 1.4M,https://www.imdb.com/title/tt0071562/?ref_=chttp_i_4
4,5, 12 Angry Men,1957,9.0, 872K,https://www.imdb.com/title/tt0050083/?ref_=chttp_i_5
5,6, Schindler's List,1993,9.0, 1.5M,https://www.imdb.com/title/tt0108052/?ref_=chttp_i_6
6,7, The Lord of the Rings: The Return of the King,2003,9.0, 2M,https://www.imdb.com/title/tt0167260/?ref_=chttp_i_7
7,8, Pulp Fiction,1994,8.9, 2.2M,https://www.imdb.com/title/tt0110912/?ref_=chttp_i_8
8,9, The Lord of the Rings: The Fellowship of the Ring,2001,8.9, 2M,https://www.imdb.com/title/tt0120737/?ref_=chttp_i_9
9,10," The Good, the Bad and the Ugly",1966,8.8, 816K,https://www.imdb.com/title/tt0060196/?ref_=chttp_i_10
10,11, Forrest Gump,1994,8.8, 2.3M,https://www.imdb.com/title/tt0109830/?ref_=chttp_i_11
11,12, The Lord of the Rings: The Two Towers,2002,8.8, 1.8M,https://www.imdb.com/title/tt0167261/?ref_=chttp_i_12
12,13, Fight Club,1999,8.8, 2.3M,https://www.imdb.com/title/tt0137523/?ref_=chttp_i_13
13,14, Inception,2010,8.8, 2.6M,https://www.imdb.com/title/tt1375666/?ref_=chttp_i_14
14,15, Star Wars: Episode V - The Empire Strikes Back,1980,8.7, 1.4M,https://www.imdb.com/title/tt0080684/?ref_=chttp_i_15
15,16, The Matrix,1999,8.7, 2.1M,https://www.imdb.com/title/tt0133093/?ref_=chttp_i_16
16,17, Goodfellas,1990,8.7, 1.3M,https://www.imdb.com/title/tt0099685/?ref_=chttp_i_17
17,18, One Flew Over the Cuckoo's Nest,1975,8.7, 1.1M,https://www.imdb.com/title/tt0073486/?ref_=chttp_i_18
18,19, Se7en,1995,8.6, 1.8M,https://www.imdb.com/title/tt0114369/?ref_=chttp_i_19
